0000008-53.2000.8.17.1060,/TJPE/SERTAO2/PARNAMIRIM/VUNICA/0000008-53.2000.8.17.1060
0007771-69.2018.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0007771-69.2018.8.17.0480
0000411-20.2015.8.17.1020,/TJPE/SERTAO2/OURICURI/CRIMINAL/VCRIM/0000411-20.2015.8.17.1020
0000350-22.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000350-22.2021.8.17.8014
0000065-69.2021.8.17.8033,/TJPE/CAPITAL/PRESIDENCIA/0000065-69.2021.8.17.8033
0007912-93.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0007912-93.2015.8.17.0480
0074173-94.2002.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0074173-94.2002.8.17.0480
0000630-73.2020.8.17.8031,/TJPE/RMR/OLINDA/CRIMINAL/VCRIM01/0000630-73.2020.8.17.8031
0002131-96.2020.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM01/0002131-96.2020.8.17.0001
0000442-05.2021.8.17.0220,/TJPE/AGRESTE2/ARCOVERDE/CRIMINAL/VCRIM/0000442-05.2021.8.17.0220
0099387-54.2009.8.17.8010,/TJPE/CAPITAL/PRESIDENCIA/0099387-54.2009.8.17.8010
0000234-53.2011.8.17.8115,/TJPE/CAPITAL/PRESIDENCIA/0000234-53.2011.8.17.8115
0003354-39.2013.8.17.8017,/TJPE/CAPITAL/PRESIDENCIA/0003354-39.2013.8.17.8017
0001078-47.2013.8.17.8013,/TJPE/CAPITAL/PRESIDENCIA/0001078-47.2013.8.17.8013
0050347-79.2006.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0050347-79.2006.8.17.0001
0000272-34.2018.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000272-34.2018.8.17.0480
0045167-77.2009.8.17.0001,/TJPE/CAPITAL/EXECUCAO FISCAL/VEFI01/0045167-77.2009.8.17.0001
0028722-47.2010.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM02/0028722-47.2010.8.17.0001
0006649-84.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0006649-84.2019.8.17.0480
0010819-41.2015.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0010819-41.2015.8.17.0480
0002932-10.2008.8.17.8027,/TJPE/CAPITAL/PRESIDENCIA/0002932-10.2008.8.17.8027
0000094-34.2018.8.17.1370,/TJPE/SERTAO1/SERRA TALHADA/CRIMINAL/VCRIM/0000094-34.2018.8.17.1370
0020246-05.2019.8.17.0001,/TJPE/CAPITAL/MILITAR/VJM/0020246-05.2019.8.17.0001
0005304-64.2011.8.17.0480,/TJPE/AGRESTE1/CARUARU/FAZENDA/VFAZ01/0005304-64.2011.8.17.0480
0005867-84.2002.8.17.8010,/TJPE/CAPITAL/PRESIDENCIA/0005867-84.2002.8.17.8010
0000556-36.2021.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0000556-36.2021.8.17.8014
0000070-89.1999.8.17.0620,/TJPE/SERTAO1/FLORESTA/VUNICA/0000070-89.1999.8.17.0620
0012800-42.2014.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0012800-42.2014.8.17.0480
0000473-12.2019.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000473-12.2019.8.17.1120
0000840-49.2021.8.17.0220,/TJPE/AGRESTE2/ARCOVERDE/CRIMINAL/VCRIM/0000840-49.2021.8.17.0220
0000384-77.2020.8.17.8128,/TJPE/CAPITAL/PRESIDENCIA/0000384-77.2020.8.17.8128
0002444-74.2020.8.17.8014,/TJPE/CAPITAL/PRESIDENCIA/0002444-74.2020.8.17.8014
0004666-21.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0004666-21.2017.8.17.0480
0001181-45.2011.8.17.0990,/TJPE/CAPITAL/NUCLEO 4.0 SFH/SFH/0001181-45.2011.8.17.0990
